AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,Updated,WaterTenders
410203.0,False,USFS Mendocino National Forest ,,2018,True,"['Colusa', 'Glenn', 'Lake', 'Mendocino']",,,,2019-01-04 09:33:00,1.0,False,True,,,3.0,39.243283,-123.103367,True,Ranch Fire (Mendocino Complex),100.0,,True,2018-07-27 12:05:00,Finalized,,280.0,,1050.0,2019-01-04 09:33:00,
229651.0,False,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",,2018,True,"['Shasta', 'Trinity']",5.0,48.0,11.0,2019-01-04 09:37:00,3.0,False,True,,,0.0,40.65428,-122.62357,True,Carr Fire,100.0,456.0,True,2018-07-23 13:15:00,Finalized,61.0,1820.0,,,2019-01-04 09:37:00,31.0
153336.0,False,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",,2018,True,['Butte'],11.0,3.0,73.0,2019-06-25 08:15:36,85.0,False,True,,2.0,3.0,39.8134,-121.4347,True,Camp Fire,100.0,1065.0,True,2018-11-08 06:33:00,Finalized,,18793.0,,,2019-07-09 13:47:00,3.0
96949.0,False,Ventura County Fire Dept. and Los Angeles County Fire Dept.,,2018,True,"['Los Angeles', 'Ventura']",,,,2019-01-04 08:42:00,3.0,False,True,,,0.0,34.235,-118.70128,True,Woolsey Fire,100.0,,True,2018-11-08 14:24:00,Finalized,341.0,1500.0,,,2019-07-09 13:46:21,
96901.0,False,USFS Sierra National Forest ,,2018,False,['Mariposa'],,,,2019-01-04 09:48:00,,False,True,,,,37.6549,-119.88581,False,Ferguson Fire,100.0,,True,2018-07-13 21:36:00,Finalized,,,,,2019-01-04 09:48:00,
90288.0,False,CAL FIRE Sonoma-Lake-Napa Unit,,2018,True,"['Napa', 'Yolo']",,,,2019-01-04 09:57:00,,False,True,,,1.0,38.80583,-122.18183,True,County Fire,100.0,,True,2018-06-30 14:12:00,Finalized,,20.0,,,2019-01-04 09:57:00,
63311.0,False,USFS Shasta-Trinity National Forest,,2018,True,"['Shasta', 'Trinity']",,,,2019-01-04 09:07:00,,False,True,,,,40.9425,-122.43,False,Delta Fire,100.0,,True,2018-09-05 12:51:00,Finalized,,,,,2019-01-04 09:07:00,
48920.0,False,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,,2018,True,"['Colusa', 'Lake', 'Mendocino']",58.0,76.0,256.0,2019-01-04 09:18:00,,False,True,,20.0,,39.04786,-123.11971,True,River Fire (Mendocino Complex),100.0,3100.0,True,2018-07-27 13:01:00,Finalized,,264.0,,1025.0,2019-01-04 09:18:00,79.0
46150.0,False,USFS Shasta-Trinity National Forest,,2018,False,['Shasta'],,,,2019-01-04 09:21:00,,False,True,,,,40.896,-122.219,True,Hirz Fire,100.0,,True,2018-08-09 01:55:00,Finalized,,,,,2019-01-04 09:21:00,
39387.0,False,Modoc National Forest,,2018,False,['Modoc'],,,,2019-01-04 09:20:00,,False,True,,,,41.38544,-121.04386,False,Stone Fire,100.0,,True,2018-08-15 18:05:00,Finalized,,,,,2019-01-04 09:20:00,
38134.0,False,USFS Rogue River-Siskiyou National Forest,,2018,False,,,,,2019-01-04 09:42:00,,False,True,,,,41.95113,-123.54642,False,Natchez Fire,100.0,,True,2018-07-15 18:30:00,Finalized,,,,,2019-01-04 09:42:00,
38008.0,False,CAL FIRE Siskiyou Unit,,2018,True,['Siskiyou'],6.0,4.0,12.0,2019-01-04 09:55:00,1.0,False,True,,2.0,3.0,41.893332,-122.534655,True,Klamathon Fire,100.0,350.0,True,2018-07-05 12:31:00,Finalized,12.0,82.0,,,2019-01-04 09:55:00,4.0
36450.0,False,Stanislaus National Forest,,2018,False,['Tuolumne'],,,,2019-01-04 09:26:00,,False,True,,,,38.349,-119.929,False,Donnell Fire,100.0,,True,2018-08-01 17:48:00,Finalized,,,,,2019-01-04 09:26:00,
29016.0,False,Oregon Department of Forestry,,2018,False,,,,,2019-01-04 09:42:00,,False,True,,,,0.0,0.0,False,Garner Complex,100.0,,True,2018-07-16 15:00:00,Finalized,,,,,2019-01-04 09:42:00,
23136.0,False,Cleveland National Forest,,2018,False,['Orange'],,,,2019-01-04 09:23:00,,False,True,,,,33.69888,-117.52055,False,Holy Fire,100.0,,True,2018-08-06 13:20:00,Finalized,,,,,2019-01-04 09:23:00,
18703.0,False,Unified Command: CAL FIRE and USFS Lassen National Forest,,2018,True,['Lassen'],,,,2019-01-04 09:32:00,,False,True,,,,40.633536,-120.868091,False,Whaleback Fire,100.0,,True,2018-07-27 13:32:00,Finalized,,,,,2019-01-04 09:32:00,
15185.0,False,CAL FIRE Sonoma-Lake-Napa Unit,,2018,True,['Lake'],,,,2019-01-04 10:01:00,,False,True,,,1.0,39.0674,-122.59848,True,Pawnee Fire,100.0,,True,2018-06-23 17:21:00,Finalized,,22.0,,,2019-01-04 10:01:00,
13139.0,False,San Bernardino National Forest,,2018,False,['Riverside'],,,,2019-01-04 09:36:00,,False,True,,,,0.0,0.0,False,Cranston Fire,100.0,,True,2018-07-25 11:41:00,Finalized,,,,,2019-01-04 09:36:00,
